Date,Total active cases
2020-01-22,510
2020-01-23,605
2020-01-24,876
2020-01-25,1346
2020-01-26,2002
2020-01-27,2775
2020-01-28,5334
2020-01-29,5899
2020-01-30,7910
2020-01-31,9480
2020-02-01,11483
2020-02-02,15940
2020-02-03,18825
2020-02-04,22538
2020-02-05,25937
2020-02-06,28664
2020-02-07,31588
2020-02-08,33631
2020-02-09,35929
2020-02-10,37656
2020-02-11,38863
2020-02-12,38770
2020-02-13,52526
2020-02-14,57094
2020-02-15,57689
2020-02-16,58228
2020-02-17,58349
2020-02-18,58240
2020-02-19,56780
2020-02-20,55146
2020-02-21,55057
2020-02-22,52614
2020-02-23,52421
2020-02-24,50993
2020-02-25,49088
2020-02-26,47517
2020-02-27,45940
2020-02-28,43837
2020-02-29,42579
2020-03-01,41952
2020-03-02,40948
2020-03-03,40826
2020-03-04,40065
2020-03-05,40136
2020-03-06,41834
2020-03-07,43304
2020-03-08,44585
2020-03-09,46728
2020-03-10,49283
2020-03-11,53950
2020-03-12,58030
2020-03-13,69645
2020-03-14,77691
2020-03-15,84448
2020-03-16,96098
2020-03-17,107998
2020-03-18,123744
2020-03-19,147410
2020-03-20,173516
2020-03-21,198744
2020-03-22,224694
2020-03-23,264226
2020-03-24,292572
2020-03-25,334118
2020-03-26,384267
2020-03-27,436008
2020-03-28,489806
2020-03-29,534897
2020-03-30,579826
2020-03-31,637056
2020-04-01,697402
2020-04-02,755784
2020-04-03,816503
2020-04-04,846567
2020-04-05,898289
2020-04-06,947482
2020-04-07,984213
2020-04-08,1030456
2020-04-09,1082517
2020-04-10,1137131
2020-04-11,1177306
2020-04-12,1270353
2020-04-13,1306127
2020-04-14,1356509
2020-04-15,1386869
2020-04-16,1442143
2020-04-17,1492492
2020-04-18,1537961
2020-04-19,1575676
2020-04-20,1621516
2020-04-21,1653338
2020-04-22,1695388
2020-04-23,1741718
2020-04-24,1768729
2020-04-25,1815254
2020-04-26,1851156
2020-04-27,1886221
2020-04-28,1919398
2020-04-29,1944646
2020-04-30,1954027
2020-05-01,1996651
2020-05-02,2026585
2020-05-03,2064713
2020-05-04,2101117
2020-05-05,2136900
2020-05-06,2171261
2020-05-07,2212475
2020-05-08,2256232
2020-05-09,2283687
2020-05-10,2318212
2020-05-11,2340636
2020-05-12,2380258
2020-05-13,2400704
2020-05-14,2448136
2020-05-15,2487988
2020-05-16,2518437
2020-05-17,2550914
2020-05-18,2580795
2020-05-19,2617229
2020-05-20,2653033
2020-05-21,2699687
2020-05-22,2688282
2020-05-23,2730512
2020-05-24,2761620
2020-05-25,2779302
2020-05-26,2810213
2020-05-27,2841899
2020-05-28,2885857
2020-05-29,2924710
2020-05-30,2987060
2020-05-31,3014023
2020-06-01,3048832
2020-06-02,3058743
2020-06-03,3084274
2020-06-04,3136424
2020-06-05,3190184
2020-06-06,3243713
2020-06-07,3293115
2020-06-08,3236101
2020-06-09,3269918
2020-06-10,3318787
2020-06-11,3362190
2020-06-12,3405991
2020-06-13,3446751
2020-06-14,3500363
2020-06-15,3532881
2020-06-16,3567695
2020-06-17,3583362
2020-06-18,3634815
2020-06-19,3711169
2020-06-20,3748033
2020-06-21,3798926
2020-06-22,3838198
2020-06-23,3891298
2020-06-24,3939841
2020-06-25,4014556
2020-06-26,4091840
2020-06-27,4154638
2020-06-28,4221486
2020-06-29,4273894
2020-06-30,4322328
2020-07-01,4416692
2020-07-02,4334433
2020-07-03,4416838
2020-07-04,4407216
2020-07-05,4464084
2020-07-06,4498285
2020-07-07,4557079
2020-07-08,4605874
2020-07-09,4690854
2020-07-10,4775927
2020-07-11,4859645
2020-07-12,4932734
2020-07-13,4977657
2020-07-14,5050210
2020-07-15,5113158
2020-07-16,5202744
2020-07-17,5256529
2020-07-18,5332482
2020-07-19,5450829
2020-07-20,5494536
2020-07-21,5546165
2020-07-22,5636919
2020-07-23,5734124
2020-07-24,5778741
2020-07-25,5804368
2020-07-26,5867706
2020-07-27,5917381
2020-07-28,5994089
2020-07-29,6078775
2020-07-30,6137230
2020-07-31,6221390
2020-08-01,6279065
2020-08-02,6366212
2020-08-03,6346575
2020-08-04,6386188
2020-08-05,6441802
2020-08-06,6532072
2020-08-07,6615878
2020-08-08,6669489
2020-08-09,6711615
2020-08-10,6774476
2020-08-11,6721722
2020-08-12,6751338
2020-08-13,6869219
2020-08-14,6879538
2020-08-15,6954007
2020-08-16,6931297
2020-08-17,6924664
2020-08-18,6948786
2020-08-19,7001785
2020-08-20,7059408
2020-08-21,7146129
2020-08-22,7194624
2020-08-23,7180306
2020-08-24,7202107
2020-08-25,7208541
